host_name,area,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Tony,Khlong Toei,13.72465,100.56757,Entire home/apt,1166,1,175,2022-12-12,34,133,21
Sirima,Sathon,13.71896,100.53693,Private room,990,1,0,2022-12-10,5,354,0
Vincent,Bang Kho laen,13.68798,100.51963,Entire home/apt,799,7,31,2022-12-08,5,341,5
Supakorn,Ratchathewi,13.75365,100.53647,Private room,834,365,0,2022-12-08,1,365,0
Pai,Suanluang,13.73388,100.64596,Hotel room,990,1,186,2022-12-08,6,350,7
BaanKachitpan,Phra Nakhon,13.75484,100.49988,Private room,990,1,5,2019-04-13,5,360,0
Ruthai,Chatu Chak,13.82581,100.56424,Entire home/apt,993,2,38,2022-07-27,4,0,3
Philippe,Vadhana,13.72806,100.58579,Entire home/apt,6000,3,1,2019-01-02,2,210,0
Artakorn,Vadhana,13.74077,100.55947,Private room,2093,3,0,2019-04-06,1,18,0
Hary,Khlong Sam Wa,13.90717,100.71754,Entire home/apt,1095,6,0,2019-07-10,1,83,0
Villa,Vadhana,13.72481,100.58426,Entire home/apt,1938,14,0,2019-10-12,2,176,0
Sompit,Lat Krabang,13.73921,100.71728,Private room,519,1,10,2020-01-15,1,365,0
Ying & Kuba,Bang Phlat,13.80086,100.50247,Private room,550,1,1,2016-12-21,1,89,0
Benny,Lak Si,13.89671,100.55634,Entire home/apt,750,1,6,2020-01-01,3,179,0
Kiattisak,Phra Nakhon,13.7568,100.49636,Private room,4000,1,7,2018-03-03,53,365,0
Kiattisak,Phra Nakhon,13.75827,100.49592,Private room,4000,1,28,2020-02-01,53,365,0
Atelier,Wang Thong Lang,13.76917,100.62389,Private room,1300,1,1,2017-04-07,2,210,0
Villa,Vadhana,13.72956,100.57534,Entire home/apt,5012,14,1,2017-03-24,2,166,0
Tony,Khlong Toei,13.72532,100.56848,Entire home/apt,1277,1,170,2022-11-01,34,136,24
Nattapon,Ratchathewi,13.75177,100.5255,Private room,1300,30,59,2022-11-07,4,364,1
Nhan,Vadhana,13.73604,100.5642,Entire home/apt,1106,28,53,2022-10-15,1,152,1
Baker,Vadhana,13.72467,100.57991,Entire home/apt,4000,20,91,2022-12-15,9,71,1
Baan LakZin,Phaya Thai,13.78984,100.53977,Private room,774,30,0,2022-11-29,1,365,0
Supoj,Khan Na Yao,13.8509,100.66927,Private room,601,1,0,2022-11-14,1,180,0
Yaowanee,Bang Sue,13.82858,100.53821,Private room,900,15,8,2022-10-30,1,329,3
Tony,Khlong Toei,13.72705,100.56686,Entire home/apt,1147,1,188,2022-10-15,34,140,32
Vincent,Bang Kho laen,13.68604,100.51912,Entire home/apt,3250,7,56,2022-07-28,5,361,1
Helene,Huai Khwang,13.75143,100.57862,Entire home/apt,850,7,24,2022-10-04,2,331,3
Longzhuguesthouse,Bang Kho laen,13.70538,100.50714,Entire home/apt,1280,1,5,2016-12-23,1,363,0
Yasmine,Huai Khwang,13.75877,100.56943,Entire home/apt,100686,1,40,2019-09-13,4,180,0
Pim,Ratchathewi,13.75187,100.53307,Private room,1662,45,3,2016-12-08,1,268,0
Tony,Khlong Toei,13.72737,100.56811,Entire home/apt,1166,1,159,2022-12-05,34,0,19
Taln,Suanluang,13.73629,100.64081,Private room,1212,1,20,2022-09-15,4,291,2
Pongpoj,Bang Khen,13.87276,100.60309,Private room,1004,1,0,2022-09-26,2,365,0
敏,Phra Khanong,13.69455,100.60735,Private room,2000,5,0,2022-10-07,1,179,0
Peack,Phra Khanong,13.70168,100.6,Entire home/apt,760,27,30,2022-10-18,4,255,6
Good Service,Khlong Toei,13.71054,100.59557,Entire home/apt,3460,10,39,2022-05-02,7,335,2
Aum,Chatu Chak,13.80985,100.57142,Entire home/apt,1500,1,0,2022-07-13,1,365,0
Jo,Khlong Sam Wa,13.84883,100.7076,Private room,800,1,0,2022-09-24,1,179,0
Taln,Suanluang,13.73586,100.63989,Private room,1123,1,73,2022-12-06,4,281,7
Poonrit,Khlong Toei,13.73518,100.55965,Entire home/apt,1258,30,47,2022-11-27,3,237,9
Avika,Sathon,13.71817,100.53137,Entire home/apt,2770,2,1,2016-12-25,1,179,0
Benjamin,Parthum Wan,13.74022,100.54541,Entire home/apt,21809,1,83,2021-06-20,7,297,0
Airin,Huai Khwang,13.79893,100.57502,Entire home/apt,1267,4,191,2022-12-08,1,262,22
Best,Phasi Charoen,13.73912,100.44742,Private room,600,1,0,2021-04-20,1,200,0
Watjanasin,Khlong Toei,13.71785,100.57698,Private room,1600,1,0,2019-09-01,1,179,0
Lek,Pra Wet,13.67413,100.6485,Entire home/apt,800,2,1,2018-01-12,1,363,0
Weerakorn,Chatu Chak,13.82892,100.56484,Entire home/apt,757,28,16,2020-09-05,6,180,0
K,Bang Rak,13.72518,100.53044,Hotel room,1089,1,9,2022-07-16,89,357,1
Huakuay,Vadhana,13.7138,100.60125,Private room,98000,1,6,2017-02-15,1,180,0
Panadda,Bang Sue,13.8055,100.52264,Private room,929,5,0,2017-12-26,1,356,0
Nontayot,Chatu Chak,13.83155,100.54166,Private room,782,1,9,2018-11-05,1,361,0
Monalisa,Vadhana,13.74219,100.55729,Private room,1428,14,28,2022-08-26,5,354,1
Hongyok,Phra Khanong,13.68452,100.61389,Private room,480,2,166,2020-04-04,1,0,0
Songsak,Huai Khwang,13.75613,100.56791,Entire home/apt,1000,26,8,2022-05-18,1,46,1
Atcharee,Huai Khwang,13.74631,100.59298,Entire home/apt,18000,2,22,2020-01-28,2,0,0
Cryst,Yan na wa,13.69924,100.53948,Entire home/apt,880,30,1,2018-03-22,2,365,0
Eddie,Khlong Toei,13.71046,100.59608,Entire home/apt,1212,3,0,2019-03-05,1,0,0
Cryst,Bang Rak,13.72819,100.52773,Entire home/apt,1795,365,13,2020-02-16,2,90,0
Minta/Jack,Sai Mai,13.92418,100.65791,Private room,866,1,0,2021-07-07,1,0,0
Patt,Khlong Toei,13.72505,100.56823,Entire home/apt,1314,21,29,2022-11-27,1,122,8
Jubjib,Vadhana,13.71519,100.59456,Entire home/apt,941,5,151,2022-12-06,3,27,8
Charuayporn,Khlong Toei,13.70633,100.59792,Private room,2200,1,0,2020-10-03,5,365,0
Eddie,Bang Na,13.66482,100.60375,Entire home/apt,750,30,5,2018-08-02,4,348,0
Charuayporn,Khlong Toei,13.70646,100.5981,Private room,2200,1,0,2020-07-01,5,365,0
Good Service,Ratchathewi,13.74994,100.555,Entire home/apt,1818,14,82,2022-05-31,7,149,1
Charuayporn,Khlong Toei,13.70645,100.5976,Private room,1717,1,0,2021-04-02,5,365,0
Charuayporn,Khlong Toei,13.70832,100.59918,Private room,2200,1,0,2020-02-03,5,365,0
Charuayporn,Khlong Toei,13.70867,100.59886,Private room,2202,1,0,2018-12-06,5,365,0
Athisaraphat,Yan na wa,13.68001,100.54757,Private room,2000,1,1,2017-10-08,1,365,0
Siamaze,Din Daeng,13.78566,100.57134,Private room,943,1,3,2022-08-31,8,356,1
Siamaze,Din Daeng,13.7863,100.57026,Private room,1200,1,5,2022-07-31,8,90,1
Mike,Vadhana,13.71029,100.60304,Private room,515,180,0,2022-07-08,1,180,0
Jazelle,Vadhana,13.73035,100.57743,Entire home/apt,1500,30,7,2022-06-16,1,249,1
Tanachai,Phra Khanong,13.68404,100.60326,Private room,999,5,0,2021-01-18,1,343,0
Poy,Ratchathewi,13.75099,100.53313,Private room,512,3,0,2019-08-24,1,174,0
Tanasak,Thon buri,13.71715,100.48179,Private room,500,180,0,2018-03-28,1,365,0
朝霞,Phaya Thai,13.78247,100.54092,Private room,3800,1,1,2016-10-31,1,90,0
Salute,Thon buri,13.7179,100.48188,Private room,797,2,126,2020-02-09,1,305,0
"Jam,",Phra Nakhon,13.75495,100.49922,Private room,1689,1,15,2022-11-10,5,350,1
"Jam,",Phra Nakhon,13.75508,100.49927,Private room,1919,1,16,2022-12-11,5,346,2
Mama,Bang Na,13.6669,100.60488,Entire home/apt,1200,30,43,2022-10-16,2,62,3
Nichakan,Saphan Sung,13.7832,100.70797,Private room,3000,1,0,2022-11-09,1,179,0
"Jam,",Phra Nakhon,13.75651,100.49993,Private room,1300,1,13,2022-12-03,5,344,1
Ratchavipa,Chatu Chak,13.83087,100.56042,Private room,850,1,0,2022-11-30,3,364,0
Turjo,Phra Nakhon,13.75531,100.49987,Entire home/apt,2944,1,0,2022-11-27,1,365,0
Good Service,Vadhana,13.73895,100.589,Entire home/apt,2523,10,37,2022-11-25,7,158,5
Vichak,Huai Khwang,13.76928,100.58104,Private room,1700,1,247,2022-12-15,25,358,34
K,Bang Rak,13.72474,100.53049,Entire home/apt,1874,16,58,2022-11-18,89,319,6
Sanunsorn,Bang Rak,13.72717,100.53788,Hotel room,2236,1,26,2022-12-06,3,130,12
Wanlapatch,Khlong San,13.72155,100.49517,Entire home/apt,160000,3,20,2018-04-26,1,179,0
Holly,Huai Khwang,13.77054,100.57982,Entire home/apt,864,2,0,2020-08-09,1,27,0
Olga,Suanluang,13.70864,100.60809,Entire home/apt,843,2,193,2022-11-23,1,46,4
Metro Pratunam,Ratchathewi,13.75064,100.54664,Hotel room,5679,1,1,2017-04-07,7,0,0
Metro Pratunam,Ratchathewi,13.75058,100.54653,Hotel room,6129,1,3,2019-02-20,7,0,0
Metro Pratunam,Ratchathewi,13.75072,100.54656,Hotel room,5679,1,3,2019-12-31,7,0,0
Patty,Khlong Toei,13.72445,100.57557,Entire home/apt,1500,1,84,2022-12-17,39,28,13
The BOB Hostel,Vadhana,13.7396,100.5901,Private room,2487,1,69,2019-05-21,5,365,0
Justin,Sathon,13.71663,100.53165,Entire home/apt,1039,2,40,2020-03-04,4,145,0
Thada,Chatu Chak,13.80241,100.57161,Entire home/apt,1200,1,1,2019-01-01,1,90,0
GArC,Khlong Toei,13.72852,100.56943,Entire home/apt,4156,2,6,2020-03-30,1,330,0
Chatchawat,Khlong San,13.71944,100.50384,Private room,1050,30,27,2020-01-06,1,117,0
Taniguchi,Sathon,13.72287,100.53845,Private room,1800,1,0,2020-03-07,1,181,0
Vichak,Huai Khwang,13.76928,100.58104,Hotel room,4143,1,129,2020-05-07,25,252,0
Aeya,Bang Na,13.67919,100.60725,Private room,1000,1,0,2018-08-24,1,179,0
Pai,Lat Krabang,13.72099,100.72264,Private room,600,1,2,2016-12-10,1,365,0
Rae And Charlie,Bang Sue,13.83081,100.52238,Entire home/apt,2000,3,10,2019-08-14,7,145,0
Noze,Lak Si,13.88644,100.58187,Private room,900,7,0,2020-09-13,1,364,0
Vanessa,Vadhana,13.74395,100.56742,Private room,1500,7,0,2021-10-14,1,363,0
Nirintana,Suanluang,13.74556,100.60226,Entire home/apt,650,5,15,2022-11-15,3,346,2
Oom,Sathon,13.71937,100.53026,Entire home/apt,1750,2,36,2022-10-26,4,325,1
Nataix,Bang Na,13.68366,100.61571,Entire home/apt,638,5,19,2022-12-11,1,352,1
Nirintana,Wang Thong Lang,13.76223,100.61815,Entire home/apt,1300,5,11,2019-01-02,3,326,0
Pratchaya,Bang Kapi,13.75187,100.60617,Entire home/apt,700,2,11,2022-12-05,1,165,4
Yair,Suanluang,13.71197,100.62589,Private room,658,28,0,2022-12-10,8,365,0
Kai,Huai Khwang,13.79793,100.57597,Entire home/apt,1814,2,48,2022-12-15,2,330,2
Ratchanee,Sathon,13.71885,100.52471,Private room,1000,30,32,2019-12-28,1,180,0
Chairat,Huai Khwang,13.77852,100.57459,Entire home/apt,1000,2,72,2022-12-09,1,6,14
Kennie,Taling Chan,13.78416,100.46102,Private room,1900,1,0,2020-03-31,1,365,0
Antique Palace,Vadhana,13.73597,100.58145,Private room,3400,7,2,2017-07-23,2,0,0
Johnson,Don Mueang,13.92281,100.5726,Private room,471,1,0,2018-12-08,2,365,0
Tee,Bang Rak,13.72839,100.53465,Entire home/apt,1750,20,74,2020-04-25,1,0,0
Pramwadee,Bang Na,13.66146,100.6063,Private room,1000,7,0,2019-03-14,1,365,0
Sivanan,Bang Kho laen,13.70073,100.51429,Entire home/apt,2597,20,20,2018-01-31,2,327,0
Kamala,Phasi Charoen,13.72282,100.45841,Entire home/apt,3000,1,0,2020-07-09,1,90,0
Prao,Chatu Chak,13.83405,100.57659,Private room,650,30,1,2022-12-16,4,362,1
Prao,Phaya Thai,13.78274,100.542,Private room,1000,30,3,2022-08-17,4,230,1
Yair,Suanluang,13.72133,100.61755,Private room,1004,10,0,2021-06-16,10,0,0
Yair,Suanluang,13.72012,100.61561,Private room,970,10,2,2020-04-15,10,365,0
Saranpong,Vadhana,13.74073,100.56646,Entire home/apt,6000,2,43,2022-12-27,2,85,1
Johishi,Pra Wet,13.72371,100.66011,Private room,900,1,0,2021-01-25,1,91,0
Hermann,Parthum Wan,13.74012,100.5407,Entire home/apt,8623,3,57,2019-02-24,1,0,0
Oakwood Residence,Khlong Toei,13.72917,100.57009,Entire home/apt,4080,1,4,2021-09-23,5,359,0
Tatiya,Chatu Chak,13.811618,100.572945,Private room,1186,2,115,2022-12-07,13,352,17
Kay,Chatu Chak,13.80138,100.57047,Private room,837,1,232,2022-12-03,3,143,14
Tatiya,Chatu Chak,13.8126,100.5722,Private room,3490,2,79,2022-12-20,13,334,2
Wichai,Khlong San,13.72166,100.50208,Entire home/apt,2175,3,0,2022-12-19,1,179,0
Mr.Yodsapon,Suanluang,13.72279,100.63912,Private room,690,2,0,2022-12-18,1,363,0
Noppasit,Khlong San,13.72068,100.50364,Entire home/apt,2459,1,0,2022-12-17,1,364,0
Peraphan,Taling Chan,13.79252,100.45313,Private room,1500,1,0,2022-12-16,3,365,0
Peraphan,Taling Chan,13.79148,100.45415,Private room,3000,1,0,2022-12-16,3,365,0
Dolrudee,Suanluang,13.73173,100.6374,Shared room,1500,1,0,2022-12-15,1,365,0
Usa,Lak Si,13.89449,100.56273,Entire home/apt,1490,30,0,2022-12-14,11,88,0
Norapol,Bang Sue,13.81275,100.53343,Entire home/apt,950,3,0,2022-12-13,1,177,0
Tatiya,Chatu Chak,13.81076,100.57239,Private room,1075,2,174,2022-12-13,13,340,38
Bi,Bang Na,13.6761,100.60922,Private room,1543,1,0,2022-03-30,2,180,0
Mariam,Vadhana,13.73781,100.59033,Private room,5000,13,0,2021-07-16,1,90,0
นฤทัย,Bang Khen,13.88753,100.60801,Private room,660,1,0,2020-11-01,1,365,0
Rich,Ratchathewi,13.75839,100.54365,Hotel room,1507,1,15,2020-02-18,11,358,0
The BOB Hostel,Vadhana,13.72988,100.58552,Hotel room,764,1,9,2019-01-24,5,365,0
Geoffrey,Khlong San,13.71912,100.50945,Entire home/apt,10734,15,11,2020-01-25,1,363,0
Christophe,Vadhana,13.73217,100.57275,Entire home/apt,5864,2,119,2022-12-13,2,358,16
Riverfront,Yan na wa,13.67163,100.54391,Hotel room,3302,1,0,2020-07-06,2,363,0
Kirana,Yan na wa,13.69182,100.54907,Entire home/apt,2000,2,3,2018-01-28,1,364,0
Peraphan,Taling Chan,13.79304,100.45569,Private room,3000,1,2,2018-02-11,3,365,0
Newey,Sathon,13.72208,100.55155,Entire home/apt,1732,180,10,2017-04-25,1,173,0
Chatsaran,Wang Thong Lang,13.76835,100.61409,Private room,950,1,2,2022-06-16,1,364,1
Chayanuch,Khan Na Yao,13.84494,100.65419,Private room,1590,1,0,2022-08-02,5,365,0
Good Service,Khlong Toei,13.72331,100.56642,Entire home/apt,3260,14,125,2022-09-18,7,157,3
Usa,Lak Si,13.89482,100.56335,Entire home/apt,980,30,0,2022-10-31,11,81,0
Patty,Khlong Toei,13.7238,100.57816,Entire home/apt,1300,2,151,2022-12-13,39,37,29
ณรงค์พล,Don Mueang,13.92591,100.59182,Private room,900,2,0,2022-11-04,1,91,0
Chollatorn,Bang Rak,13.7244,100.53064,Private room,1500,7,4,2022-09-26,2,161,2
Yair,Suanluang,13.7223,100.61511,Private room,1400,10,0,2022-10-30,8,365,0
Nivit,Bang Kapi,13.76253,100.64754,Entire home/apt,2571,1,127,2022-12-03,4,357,4
Naritsara,Chatu Chak,13.82472,100.54428,Private room,1586,30,35,2018-05-19,1,179,0
Navalarp,Lat Phrao,13.84381,100.59263,Entire home/apt,747,1,5,2019-05-05,2,180,0
A,Din Daeng,13.77588,100.57017,Entire home/apt,830,2,96,2022-12-20,1,114,31
Kamonwan,Bang Na,13.66338,100.61058,Private room,1200,1,0,2020-12-22,3,365,0
Kamonwan,Bang Na,13.66501,100.60993,Private room,1200,1,0,2018-12-26,3,365,0
Navalarp,Lat Phrao,13.84315,100.59253,Entire home/apt,920,1,4,2016-12-29,2,180,0
Yair,Suanluang,13.72009,100.61791,Private room,1200,10,1,2022-09-11,8,365,1
Yair,Suanluang,13.71963,100.61797,Private room,1200,28,0,2020-04-28,8,331,0
Tanyavimon,Phra Nakhon,13.76065,100.50078,Private room,1800,1,3,2017-12-14,1,363,0
Nattawan,Don Mueang,13.9448,100.59084,Private room,740,1,0,2019-08-18,1,364,0
Kamonwan,Bang Na,13.6641,100.61006,Private room,1200,1,0,2021-04-22,3,363,0
SiamLife,Khlong San,13.72289,100.50433,Entire home/apt,1300,5,10,2022-12-26,17,205,4
Kc,Din Daeng,13.799,100.57352,Private room,1250,1,0,2021-03-21,2,364,0
Kimmy,Yan na wa,13.69329,100.53491,Entire home/apt,850,2,6,2019-06-16,2,180,0
บวรศิริวัจน์,Lak Si,13.89878,100.58586,Private room,350,3,0,2021-02-23,1,365,0
SABAI Guests,Khlong Toei,13.72183,100.56506,Entire home/apt,1250,28,147,2022-11-04,6,110,3
Bo,Bang Rak,13.72507,100.53065,Private room,3180,1,13,2020-02-16,10,172,0
Baanfangthon,Thon buri,13.72154,100.48338,Private room,699,1,95,2020-12-14,4,136,0
The BOB Hostel,Vadhana,13.74014,100.58925,Shared room,1500,1,38,2019-03-01,5,365,0
Baanfangthon,Thon buri,13.72222,100.48336,Private room,799,1,209,2022-12-19,4,135,11
Syed,Ratchathewi,13.75431,100.53842,Private room,500,1,1,2017-02-06,4,145,0
Poonsak,Sai Mai,13.88353,100.62469,Private room,550,1,0,2018-02-09,2,365,0
Le Tada Residence,Ratchathewi,13.76187,100.54038,Hotel room,5391,1,6,2019-02-13,2,321,0
Nutt,Vadhana,13.7141,100.60001,Entire home/apt,1040,7,23,2022-12-13,5,297,13
Anchulee,Phra Nakhon,13.76529,100.49755,Entire home/apt,2400,7,28,2022-08-11,1,324,3
Nuttawut,Ratchathewi,13.75113,100.52731,Hotel room,300000,1,2,2020-02-23,5,365,0
Oom,Sathon,13.72157,100.52998,Entire home/apt,1750,2,33,2022-12-08,4,320,6
Taln,Suanluang,13.73586,100.63989,Shared room,489,1,84,2022-11-12,4,305,6
Krid,Bang Khen,13.88036,100.61176,Private room,800,1,0,2022-11-22,1,88,0
Kornkamol,Chatu Chak,13.81665,100.56438,Entire home/apt,1000,90,0,2022-12-02,1,257,0
Top,Sathon,13.72206,100.54444,Entire home/apt,13570,1,87,2022-12-12,4,342,14
Rapeepan,Yan na wa,13.6962,100.54514,Private room,870,3,21,2022-10-23,1,302,1
Top,Sathon,13.72266,100.54477,Entire home/apt,10570,1,134,2022-12-22,4,333,20
Tanawat,Bang Kapi,13.751402854919434,100.61815643310548,Private room,474,1,57,2022-12-11,3,155,5
Withawin,Yan na wa,13.69478,100.54026,Private room,2770,1,0,2022-12-07,1,180,0
Kitty,Phra Khanong,13.68853,100.60391,Private room,1000,2,0,2022-12-03,1,365,0
WIthawint,Bang Kho laen,13.69611,100.4923,Private room,2251,60,0,2022-11-29,1,365,0
Alisha,Huai Khwang,13.75516,100.56767,Entire home/apt,999,30,11,2022-11-26,1,15,3
Carlos,Khlong Toei,13.71246,100.59197,Entire home/apt,1385,1,7,2020-04-19,1,211,0
Rattana,Chatu Chak,13.8148,100.57648,Private room,370,2,111,2022-12-21,3,309,6
Kanokwan,Phra Khanong,13.68662,100.60747,Entire home/apt,1050,3,25,2022-10-24,1,351,1
Sleeping,Bangkok Noi,13.75276,100.47188,Private room,599,1,2,2016-12-28,4,364,0
นวลจันทร์,Bueng Kum,13.83087,100.64499,Private room,600,1,0,2019-12-12,1,365,0
Genie,Bangkok Noi,13.75152,100.47333,Entire home/apt,1846,1,91,2022-11-26,4,345,4
Helene,Huai Khwang,13.76336,100.58428,Entire home/apt,850,7,25,2022-08-23,2,215,1
Poonsak,Sai Mai,13.88539,100.62514,Private room,1490,1,1,2017-08-13,2,365,0
Rujiret,Parthum Wan,13.73232,100.54849,Private room,5000,30,0,2018-07-10,3,91,0
Meechai,Lak Si,13.88838,100.57784,Private room,1000,30,0,2019-06-06,1,91,0
วิภาณี,Bang Rak,13.72714,100.53032,Private room,1960,60,0,2020-05-02,1,365,0
BaiTong,Bang Kapi,13.77992,100.63053,Private room,3107,1,0,2021-03-29,1,365,0
Baker,Khlong Toei,13.72214,100.5805,Entire home/apt,3300,21,78,2022-02-23,9,65,1
"Jam,",Phra Nakhon,13.75618,100.49934,Private room,896,1,23,2022-12-12,5,349,18
Demo,Vadhana,13.71129,100.60257,Entire home/apt,1009,2,50,2020-11-29,7,165,0
Ratchavipa,Chatu Chak,13.83154,100.56033,Private room,850,1,0,2021-12-03,3,179,0
Tony,Phaya Thai,13.78865,100.55435,Entire home/apt,1394,1,148,2022-12-08,34,94,27
Tony,Phaya Thai,13.78927,100.55313,Entire home/apt,1394,1,173,2022-12-05,34,115,35
Tony,Phaya Thai,13.79052,100.55486,Entire home/apt,1523,1,194,2022-12-05,34,124,47
Bee,Sathon,13.71957,100.5486,Entire home/apt,2650,1,96,2022-12-25,29,309,1
Varittha,Bangkok Noi,13.76887,100.47911,Private room,500,1,7,2021-05-06,1,179,0
Tony,Phaya Thai,13.78975,100.55347,Entire home/apt,1523,1,157,2022-12-11,34,139,37
Lily,Huai Khwang,13.75916,100.56991,Entire home/apt,1500,5,27,2020-07-09,3,0,0
BED STATION Hostel,Ratchathewi,13.75309,100.53026,Shared room,406,1,5,2019-09-22,3,358,0
Apinya,Chatu Chak,13.80503,100.56792,Private room,4000,4,0,2020-08-17,1,365,0
Mon,Khlong Toei,13.72459,100.57608,Entire home/apt,2500,180,0,2021-07-14,2,358,0
Notee,Sathon,13.72239,100.55192,Entire home/apt,4166,21,39,2022-06-10,3,56,4
Terachai,Vadhana,13.73913,100.56027,Private room,650,1,138,2022-12-24,7,153,15
Patty,Vadhana,13.73539,100.56321,Entire home/apt,1500,5,171,2022-11-29,39,67,14
Terachai,Vadhana,13.73907,100.56029,Private room,1017,2,150,2022-12-20,7,172,23
Sleeping,Bangkok Noi,13.75282,100.46965,Private room,850,7,16,2018-03-13,4,67,0
The BOB Hostel,Vadhana,13.73099,100.5854,Shared room,1200,1,45,2018-12-27,5,364,0
Sipim,Bang Na,13.65436,100.64442,Private room,830,7,1,2017-03-04,1,319,0
Choon Fei,Khlong Toei,13.73322,100.5624,Entire home/apt,3463,2,35,2020-01-02,1,350,0
Yumi,Vadhana,13.72257,100.6001,Entire home/apt,1687,28,4,2022-12-17,1,329,4
Terachai,Vadhana,13.73907,100.5603,Private room,1100,1,113,2022-12-15,7,152,16
BabyBlue,Bang Rak,13.72411,100.53466,Private room,980,1,15,2021-07-14,5,0,0
Phachanita,Phra Nakhon,13.75729,100.50274,Private room,1012,3,0,2022-04-06,1,357,0
Terachai,Vadhana,13.73909,100.56029,Private room,650,1,90,2022-12-28,7,149,23
Terachai,Vadhana,13.73911,100.56039,Private room,876,1,98,2022-12-23,7,142,31
Prawitra,Bang Na,13.68068,100.61099,Entire home/apt,820,3,46,2022-12-09,1,106,9
มาลี,Vadhana,13.70618,100.60186,Entire home/apt,1800,30,80,2018-07-01,2,241,0
Laszlo,Phra Khanong,13.68927,100.6067,Entire home/apt,700,2,7,2018-12-08,3,85,0
Monalisa,Vadhana,13.74225,100.55931,Private room,1685,14,7,2020-01-03,5,354,0
Bua,Pom Prap Sattru Phai,13.7403,100.51407,Private room,3714,1,402,2022-12-12,2,253,73
Yann,Vadhana,13.73527,100.60076,Entire home/apt,2886,3,4,2022-10-12,2,163,4
Feb,Khlong Toei,13.72942,100.56787,Entire home/apt,1403,28,7,2020-03-17,6,302,0
Inn Stations,Parthum Wan,13.73757,100.51808,Shared room,360,1,12,2022-11-27,1,365,3
BabyBlue,Bang Rak,13.72416,100.53468,Private room,980,1,14,2020-03-08,5,0,0
Kinifrog,Thon buri,13.71566,100.47816,Entire home/apt,1520,28,45,2022-12-10,19,230,2
BabyBlue,Bang Rak,13.72418,100.53468,Private room,1400,1,4,2019-02-02,5,0,0
Patty,Khlong Toei,13.73586,100.56194,Entire home/apt,1400,1,173,2022-10-19,39,77,18
Matthew,Khlong Toei,13.70669,100.59854,Private room,950,30,9,2022-12-12,1,343,3
Noohna,Phra Khanong,13.698,100.60702,Private room,2000,1,0,2022-12-19,1,335,0
Pan,Ratchathewi,13.75526,100.53871,Private room,500,1,12,2022-12-26,4,327,10
David,Ratchathewi,13.75497,100.53922,Private room,1571,1,87,2022-11-20,6,359,7
Baanfangthon,Thon buri,13.72082,100.48158,Private room,799,1,153,2022-06-25,4,165,1
Armaj,Lak Si,13.85657,100.54707,Entire home/apt,1000,7,15,2020-01-19,2,331,0
天涛,Phra Nakhon,13.76372,100.50223,Entire home/apt,3300,1,0,2021-07-04,2,365,0
Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,950,1,47,2022-12-18,4,365,3
Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,950,1,20,2022-12-15,4,355,1
Vichak,Huai Khwang,13.76921,100.58103,Private room,6215,1,124,2020-01-28,25,252,0
Bua Noppamas,Bang Rak,13.73422,100.52163,Private room,1000,2,14,2022-12-17,4,344,2
Pong,Chatu Chak,13.84148,100.55946,Private room,1150,1,0,2020-02-18,4,179,0
Pavitra,Vadhana,13.73376,100.57301,Entire home/apt,3286,360,4,2017-04-22,2,365,0
Chatnakorn,Lak Si,13.87255573272705,100.57288360595705,Private room,800,1,15,2022-12-25,4,347,1
Namm,Khlong Toei,13.71034,100.5939,Entire home/apt,1883,1,33,2019-12-08,1,83,0
Baan 89,Phra Nakhon,13.7544,100.50423,Hotel room,318,1,0,2021-06-04,5,271,0
Jenjira,Suanluang,13.73154,100.62038,Entire home/apt,1732,2,150,2022-12-01,3,32,15
Taosiam,Huai Khwang,13.77895,100.57565,Entire home/apt,750,1,221,2020-02-22,34,102,0
Bean,Sathon,13.71732,100.51657,Private room,1200,30,1,2017-11-03,2,365,0
Bean,Sathon,13.71751,100.516,Private room,1800,30,0,2018-05-04,2,365,0
VerymuchThai,Khlong Toei,13.714,100.59137,Entire home/apt,2800,7,32,2018-11-03,1,245,0
Taosiam,Huai Khwang,13.77896,100.57695,Private room,750,1,89,2018-10-13,34,102,0
Taosiam,Huai Khwang,13.78117,100.57915,Private room,900,1,97,2022-12-05,34,125,1
Amy,Thon buri,13.71116,100.47632,Entire home/apt,851,5,148,2022-12-13,10,135,9
Aumpol,Bang Rak,13.73035,100.51455,Entire home/apt,4900,1,0,2022-12-19,1,181,0
Guang,Khlong San,13.7247389,100.507924,Private room,841,1,195,2022-12-26,2,326,29
K,Bang Rak,13.72514,100.532,Hotel room,1089,1,61,2022-11-16,89,335,5
Abby,Chatu Chak,13.80473,100.57526,Entire home/apt,790,30,10,2019-02-27,1,335,0
Tharinee,Bang Khen,13.87235,100.60357,Private room,511,3,3,2020-01-04,1,116,0
Chayanuch,Khan Na Yao,13.84516,100.65331,Private room,12500,1,0,2020-02-07,5,365,0
Daniel,Pra Wet,13.7316,100.70036,Entire home/apt,869,2,59,2020-03-12,1,350,0
Pooja,Khlong Toei,13.74067,100.5529,Entire home/apt,1558,31,15,2022-11-04,1,339,1
Paijit,Phra Nakhon,13.76208,100.49606,Entire home/apt,930,1,141,2020-03-06,1,0,0
