host_name,area,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Sander,Bang Na,13.67998,100.61074,Entire home/apt,1500,29,0,2022-11-03,1,365,0
Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,67,2022-09-20,1,167,1
Piya,Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,3,2022-11-28,8,180,2
Piya,Bang Na,13.67991,100.61055,Entire home/apt,922,14,170,2022-12-05,1,219,5
Somsak,Khlong San,13.72214,100.50752,Shared room,350,1,12,2020-02-08,10,87,0
Siriwipa,Ratchathewi,13.74902,100.55652,Entire home/apt,866,90,94,2022-08-31,1,142,1
Mimi,Sathon,13.71498,100.53312,Private room,1543,1,40,2022-12-09,4,149,10
Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589,1,36,2022-09-01,2,176,1
Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,2022-12-06,1,129,19
Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,2020-04-30,37,361,0
Chanvit,Rat Burana,13.68426,100.49841,Private room,1558,1,0,2020-03-14,1,365,0
Pornpan,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,80,2020-01-28,1,330,0
Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,189,2022-11-28,1,230,13
Vichit,Vadhana,13.71012,100.60281,Entire home/apt,6926,1,1,2019-01-13,1,364,0
Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,2020-04-09,1,180,0
Sugarcane,Phra Nakhon,13.75135,100.49447,Shared room,5195,1,0,2021-07-05,1,365,0
Evan,Sathon,13.72062,100.54707,Entire home/apt,829,1,430,2022-10-01,37,334,10
Tor,Sathon,13.71782,100.51622,Private room,950,1,39,2022-10-01,7,301,2
Peter,Vadhana,13.73816,100.56495,Entire home/apt,1400,28,32,2022-10-31,2,120,5
Sibyl,Vadhana,13.7104,100.60171,Entire home/apt,2355,30,19,2020-01-04,1,356,0
Nicky,Bang Kho laen,13.69949,100.52725,Entire home/apt,980,2,18,2022-11-26,6,75,1
S1,Sathon,13.72157,100.54509,Shared room,330,1,82,2019-12-09,3,358,0
Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740,7,18,2022-09-14,1,44,1
Chris And Lek,Phaya Thai,13.79128,100.54935,Entire home/apt,1000,5,29,2022-09-01,1,145,4
Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,0,2021-06-07,1,365,0
Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,325,2020-03-14,37,358,0
Wimonpak,Yan na wa,13.69673,100.53202,Entire home/apt,1143,200,35,2019-03-04,41,365,0
Wimonpak,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,40,2018-10-24,41,365,0
Wimonpak,Bang Kho laen,13.69977,100.52652,Entire home/apt,831,365,14,2013-11-01,41,270,0
Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,127,2022-12-14,41,365,5
Wimonpak,Bang Kho laen,13.70068,100.5228,Entire home/apt,720,365,26,2016-11-05,41,365,0
Wimonpak,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,48,2022-11-13,41,346,3
Wimonpak,Bang Kho laen,13.70086,100.52276,Entire home/apt,1211,365,8,2013-06-28,41,365,0
Marvin,Sathon,13.71922,100.5255,Private room,1736,1,14,2017-02-23,3,356,0
Maam & Hermann,Yan na wa,13.67317,100.54406,Hotel room,1558,2,120,2020-02-28,1,361,0
Nisa,Suanluang,13.71119,100.63334,Entire home/apt,970,21,1,2013-07-01,2,272,0
Jahidul,Yan na wa,13.70497,100.55134,Private room,2500,1,0,2018-03-01,1,364,0
Wimonpak,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,60,2022-10-30,41,162,1
Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,670,2,38,2018-03-31,41,347,0
Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,720,1,40,2022-12-12,41,359,3
Nokina,Chatu Chak,13.82841,100.57103,Entire home/apt,1004,2,24,2018-07-22,2,0,0
Preeda,Phra Khanong,13.6937,100.59897,Entire home/apt,1385,3,0,2020-10-02,1,364,0
Bee,Sathon,13.71278,100.5156,Entire home/apt,811,2,404,2022-12-15,7,304,19
Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000,7,6,2022-12-16,3,62,1
Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629,4,4,2022-10-23,7,82,4
Kriengkrai,Sathon,13.71659,100.51588,Private room,835,1,0,2021-01-16,7,365,0
Kriengkrai,Sathon,13.71655,100.51384,Private room,926,1,1,2019-04-13,7,365,0
Kriengkrai,Sathon,13.71496,100.51406,Private room,866,1,0,2019-03-10,7,365,0
Kriengkrai,Sathon,13.718,100.51573,Private room,650,1,0,2019-02-04,7,365,0
Kriengkrai,Sathon,13.71662,100.51572,Shared room,866,1,2,2019-01-01,7,365,0
Andrea,Bang Rak,13.72687,100.52326,Entire home/apt,5887,30,8,2019-01-22,1,358,0
Psirivedin,Don Mueang,13.9277,100.58757,Private room,1250,1,0,2021-01-04,1,365,0
Suchada,Phaya Thai,13.7736,100.54079,Entire home/apt,2571,3,109,2022-12-18,4,342,56
Nattha,Phaya Thai,13.77808,100.5416,Entire home/apt,1000,120,18,2021-03-15,1,323,0
Mike,Chatu Chak,13.80994,100.5651,Entire home/apt,4156,30,0,2021-04-15,1,348,0
Tayawat,Phaya Thai,13.77776,100.54353,Entire home/apt,3847,9,34,2021-05-17,1,167,0
Gerd,Vadhana,13.73757,100.55996,Entire home/apt,1485,3,206,2022-12-14,3,130,20
VeeZa,Dusit,13.77537,100.52383,Entire home/apt,2814,1,271,2022-12-20,1,154,2
Evan,Sathon,13.72062,100.54707,Entire home/apt,707,1,93,2022-11-25,37,346,11
Urcha,Bang Kapi,13.75056,100.60844,Private room,1316,5,1,2013-12-03,1,364,0
Anchana,Bang Rak,13.72225,100.51642,Private room,2061,30,11,2015-09-02,4,365,0
Anchana,Bang Rak,13.72221,100.51568,Private room,2061,30,3,2015-09-01,4,365,0
Feb,Phra Khanong,13.69821,100.60626,Entire home/apt,600,120,77,2022-11-30,6,244,2
Evan,Sathon,13.72061,100.54706,Entire home/apt,750,1,426,2022-12-08,37,344,10
NiNew,Lak Si,13.88974,100.56257,Private room,800,1,27,2016-04-08,4,353,0
Evan,Sathon,13.72062,100.54709,Entire home/apt,693,1,224,2022-12-13,37,349,4
Taweewat  (Ken),Phaya Thai,13.78148,100.54868,Private room,1088,2,1,2019-01-04,2,365,0
Kinifrog,Thon buri,13.71699,100.4783,Entire home/apt,2000,7,0,2020-12-17,19,354,0
Feb,Bang Na,13.67926,100.61655,Entire home/apt,808,29,147,2022-11-30,6,317,2
Sarasinee,Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,4,2012-12-15,1,365,0
Avinash,Din Daeng,13.78777,100.56551,Entire home/apt,866,1,6,2015-10-18,1,365,0
Andrew,Parthum Wan,13.74088,100.54102,Entire home/apt,3097,12,120,2022-12-04,1,54,1
Tam,Phaya Thai,13.78686,100.54951,Entire home/apt,850,30,14,2020-01-10,1,362,0
Egidio,Sathon,13.72109,100.53915,Entire home/apt,1212,300,35,2022-06-17,3,271,3
